epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8727,1.98858,6.2767,2.39055,0.49854,0.53587,0.55659,0.26657,1.72149,3.53147,2.0618,0.000180724,0.000180724,0.000180724
2,67.3885,1.96054,6.28488,2.3571,0.68627,0.5241,0.54444,0.25801,1.56433,3.65137,1.95744,0.000358935,0.000358935,0.000358935
3,96.2242,1.99301,6.41923,2.37673,0.73337,0.38779,0.45781,0.22173,1.60023,4.27896,2.06294,0.000533547,0.000533547,0.000533547
4,123.445,1.95795,6.32344,2.33172,0.46567,0.41527,0.40886,0.18972,1.67151,4.05166,2.02051,0.000704558,0.000704558,0.000704558
5,153.154,2.03282,6.45502,2.40375,0.54987,0.41791,0.48096,0.2451,1.61582,4.05964,2.00297,0.00087197,0.00087197,0.00087197
6,183.818,1.99177,6.45513,2.36398,0.61603,0.37897,0.42933,0.18654,1.60459,4.1908,2.02,0.000864004,0.000864004,0.000864004
7,210.845,1.9805,6.42339,2.34323,0.76144,0.34411,0.38979,0.196,1.81295,4.25564,2.21987,0.000855005,0.000855005,0.000855005
8,239.334,1.97794,6.46015,2.34206,0.44205,0.4382,0.4502,0.19853,1.6714,4.45057,2.10528,0.000846006,0.000846006,0.000846006
9,269.231,1.9688,6.26521,2.33144,0.43572,0.41571,0.33099,0.15323,1.69621,4.50702,2.11267,0.000837007,0.000837007,0.000837007
10,298.137,1.92895,6.22044,2.28048,0.46634,0.54612,0.5032,0.22044,1.75401,3.96534,2.10349,0.000828008,0.000828008,0.000828008
11,325.431,1.93538,6.20232,2.28685,0.46906,0.54255,0.56866,0.29076,1.5712,3.62173,1.98199,0.000819009,0.000819009,0.000819009
12,354.603,1.94866,6.2566,2.30044,0.83766,0.36845,0.57071,0.26673,1.59872,3.68413,2.02955,0.00081001,0.00081001,0.00081001
13,384.18,1.91939,6.16436,2.28004,0.4581,0.5115,0.5058,0.23564,1.69568,3.95624,2.11504,0.000801011,0.000801011,0.000801011
14,412.77,1.8889,6.0698,2.24194,0.42972,0.52064,0.50169,0.25237,1.60336,3.72363,2.00767,0.000792012,0.000792012,0.000792012
